status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_inr,date_recorded
employed,25_34,High School,Retail,suburban,,15.0,53800.0,2025-05-19
Employed,55+,Diploma,Healthcare,Delhi,High,,102000.0,2025-05-20
Unemployed,55+,,Healthcare,Hyderabad,low,29.0,37800.0,2025-05-21
EMPLOYED,18-24,Bachelors,Fintech,suburban,High,22.0,120200.0,2025-05-23
EMPLOYED,45-54,Bachelors,Fintech,Delhi,Low,,28600.0,2025-05-24
unemployed,35 - 44,high school,Fintech,Mumbai,Low,,105900.0,2025-05-25
Unemployed,,Ph.D,Fintech,Delhi,low,5.0,91400.0,2025-05-26
EMPLOYED,55+,Bachelor's,Education,,,3.0,80800.0,2025-05-27
,55+,Bachelor's,Healthcare,Delhi,Low,,43200.0,2025-05-28
employed,35 - 44,Bachelors,Retail,suburban,low,4.0,77600.0,2025-05-29
employed,25_34,High School,Fintech,Bangalore,High,,94100.0,2025-05-30
employed,25_34,High School,Health,Delhi,HIGH,,6400.0,2025-05-31
unemployed,25-34,Bachelor's,,urban,HIGH,,46400.0,2025-06-01
UNEMPLOYED,25-34,Ph.D,Technology,rural,low,4.0,145700.0,2025-06-02
Unemployed,45-54,,Healthcare,Delhi,Low,,56000.0,2025-06-03
Employed,45-54,high school,,Mumbai,Medium,,73500.0,2025-06-04
Unemployed,35 - 44,Master,Finance,Urban,low,26.0,108400.0,2025-06-05
EMPLOYED,25-34,,,Urban,moderate,7.0,79300.0,2025-06-06
Unemployed,45-54,Bachelor's,,,Medium,,35900.0,2025-06-07
EMPLOYED,,Bachelor's,Health,urban,Medium,,69700.0,2025-06-09
Unemployed,18 to 24,high school,Finance,suburban,low,10.0,24700.0,2025-06-10
UNEMPLOYED,,Ph.D,Tech,rural,High,,9700.0,2025-06-11
UNEMPLOYED,55+,Masters,Retail,Bangalore,High,,117800.0,2025-06-14
,45-54,Master,Technology,Urban,moderate,,145700.0,2025-06-15
unemployed,55+,Masters,Healthcare,suburban,low,20.0,25000.0,2025-06-16
UNEMPLOYED,45-54,Masters,Fintech,Bangalore,moderate,8.0,43400.0,2025-06-17
Unemployed,25_34,Diploma,Retail,Mumbai,Low,,121600.0,2025-06-18
Employed,25_34,Diploma,Healthcare,,Medium,,82400.0,2025-06-19
EMPLOYED,25-34,,Fintech,urban,low,,16200.0,2025-06-20
UNEMPLOYED,18 to 24,,Finance,suburban,,19.0,71300.0,2025-06-22
UNEMPLOYED,55+,Masters,Retail,suburban,Low,,87600.0,2025-06-23
employed,,PhD,Fintech,Bangalore,low,,122900.0,2025-06-24
unemployed,45-54,PhD,Healthcare,,HIGH,,102100.0,2025-06-25
EMPLOYED,55+,High School,,Urban,,,107900.0,2025-06-28
UNEMPLOYED,25-34,Masters,Retail,,,,25100.0,2025-06-29
Unemployed,18 to 24,Masters,Fintech,Hyderabad,low,,43700.0,2025-07-01
,25_34,Diploma,Tech,Urban,low,,70600.0,2025-07-02
,35 - 44,Diploma,Health,urban,Medium,,137900.0,2025-07-03
employed,25-34,Diploma,Finance,Bangalore,High,21.0,39700.0,2025-07-04
unemployed,55+,Diploma,Healthcare,Hyderabad,low,,22900.0,2025-07-05
EMPLOYED,18-24,Masters,Finance,rural,High,,6400.0,2025-07-06
Employed,35 - 44,Ph.D,Retail,suburban,High,,60700.0,2025-07-07
EMPLOYED,45-54,Ph.D,Health,Delhi,Medium,10.0,146200.0,2025-07-10
EMPLOYED,25-34,high school,Retail,Urban,Medium,21.0,28100.0,2025-07-12
UNEMPLOYED,55+,,Fintech,Hyderabad,moderate,,142800.0,2025-07-13
employed,25-34,Bachelor's,Retail,,Medium,,107400.0,2025-07-14
Employed,45-54,Bachelor's,Fintech,Delhi,,9.0,52600.0,2025-07-15
Employed,45-54,Bachelors,Fintech,Mumbai,moderate,12.0,32900.0,2025-07-16
Unemployed,35 - 44,Bachelor's,Education,urban,moderate,20.0,78600.0,2025-07-19
unemployed,55+,,Retail,Delhi,High,27.0,47600.0,2025-07-20
employed,35 - 44,PhD,Technology,suburban,,,56200.0,2025-07-21
Employed,35 - 44,Bachelors,Retail,suburban,HIGH,,56700.0,2025-07-22
unemployed,25_34,PhD,Retail,rural,Low,,18300.0,2025-07-23
Unemployed,35 - 44,Bachelors,Retail,,HIGH,,124400.0,2025-07-24
,35 - 44,PhD,Finance,Urban,,2.0,41900.0,2025-07-25
Unemployed,,PhD,Healthcare,Delhi,HIGH,7.0,26100.0,2025-07-26
UNEMPLOYED,35 - 44,Ph.D,Retail,Bangalore,Medium,,41800.0,2025-07-27
EMPLOYED,35 - 44,Diploma,,rural,High,,141200.0,2025-07-28
Employed,25-34,High School,,Delhi,Low,,132100.0,2025-07-29
EMPLOYED,45-54,PhD,Fintech,Hyderabad,Low,26.0,110600.0,2025-07-30
UNEMPLOYED,18 to 24,Bachelor's,Retail,Bangalore,,,94400.0,2025-07-31
unemployed,,,Health,urban,Medium,30.0,81600.0,2025-08-01
Employed,18 to 24,,Finance,Mumbai,HIGH,8.0,115800.0,2025-08-02
employed,25_34,Bachelors,Healthcare,Delhi,moderate,,125000.0,2025-08-03
Employed,55+,Masters,Healthcare,Hyderabad,low,,145400.0,2025-08-04
employed,18 to 24,High School,Health,Bangalore,Low,5.0,108300.0,2025-08-05
unemployed,25_34,High School,Tech,Mumbai,low,30.0,64500.0,2025-08-06
Unemployed,18-24,PhD,Retail,urban,Low,17.0,71300.0,2025-08-07
UNEMPLOYED,55+,PhD,Tech,urban,High,,69400.0,2025-08-08
EMPLOYED,35 - 44,Master,Fintech,Hyderabad,Medium,,92500.0,2025-08-09
UNEMPLOYED,18-24,high school,Fintech,suburban,,6.0,135000.0,2025-08-10
EMPLOYED,35 - 44,high school,,Urban,High,,36300.0,2025-08-11
EMPLOYED,18-24,Masters,Healthcare,Mumbai,Medium,23.0,98700.0,2025-08-12
Employed,45-54,High School,Fintech,rural,moderate,,67400.0,2025-08-13
,25-34,Ph.D,Technology,Delhi,Low,20.0,115700.0,2025-08-14
Unemployed,18-24,Diploma,Retail,Mumbai,Low,17.0,12400.0,2025-08-15
,18-24,High School,Retail,urban,High,1.0,90000.0,2025-08-18
Unemployed,25-34,Masters,,suburban,Medium,21.0,60800.0,2025-08-19
UNEMPLOYED,18-24,Master,Fintech,Bangalore,,,55300.0,2025-08-20
Unemployed,25-34,,Healthcare,,moderate,6.0,18000.0,2025-08-21
unemployed,25_34,Ph.D,Healthcare,urban,High,2.0,13100.0,2025-08-22
Unemployed,25_34,Bachelor's,Healthcare,Urban,Low,,114700.0,2025-08-23
Employed,,PhD,Education,Hyderabad,Medium,,57300.0,2025-08-24
UNEMPLOYED,25_34,Masters,,rural,Low,,122000.0,2025-08-25
EMPLOYED,18 to 24,Diploma,Retail,suburban,HIGH,,7900.0,2025-08-26
unemployed,25-34,Ph.D,Health,rural,Low,20.0,118600.0,2025-08-28
UNEMPLOYED,25-34,Bachelor's,Finance,Mumbai,Low,,72200.0,2025-08-30
unemployed,25-34,Bachelors,Education,Mumbai,,26.0,35500.0,2025-08-31
Unemployed,18 to 24,Ph.D,Health,Urban,High,,129300.0,2025-09-01
Employed,55+,Diploma,Retail,Delhi,moderate,,126500.0,2025-09-02
employed,25-34,Masters,Healthcare,rural,Low,,36900.0,2025-09-03
Unemployed,18 to 24,Bachelors,Healthcare,urban,,,47100.0,2025-09-05
,18 to 24,Ph.D,Technology,Delhi,HIGH,2.0,10800.0,2025-09-07
Unemployed,18-24,high school,Technology,Mumbai,Medium,10.0,89900.0,2025-09-08
EMPLOYED,18-24,Bachelor's,Education,Hyderabad,HIGH,,147900.0,2025-09-09
Unemployed,45-54,Ph.D,Tech,Delhi,High,9.0,32300.0,2025-09-11
employed,55+,Ph.D,Education,Urban,HIGH,,66800.0,2025-09-12
unemployed,25_34,Diploma,Retail,rural,Low,28.0,70600.0,2025-09-13
UNEMPLOYED,35 - 44,High School,Education,Delhi,,13.0,138600.0,2025-09-14
Employed,35 - 44,Ph.D,Retail,Bangalore,HIGH,,51800.0,2025-09-15
EMPLOYED,25-34,Masters,Healthcare,Bangalore,moderate,,119000.0,2025-09-16
employed,18-24,high school,Healthcare,Urban,Low,,8100.0,2025-09-17
,18 to 24,Ph.D,Health,Mumbai,Medium,5.0,112300.0,2025-09-18
employed,18 to 24,High School,Retail,rural,,14.0,33700.0,2025-09-19
,,Ph.D,Education,,low,,67300.0,2025-09-20
unemployed,55+,Masters,Retail,,Medium,11.0,107800.0,2025-09-21
unemployed,25-34,Bachelors,Education,rural,low,25.0,137200.0,2025-09-22
Unemployed,25_34,,Fintech,Bangalore,Medium,10.0,148600.0,2025-09-23
employed,,Diploma,Healthcare,suburban,,25.0,88500.0,2025-09-24
employed,18 to 24,Ph.D,Finance,Mumbai,Medium,0.0,133700.0,2025-09-25
unemployed,55+,Ph.D,Education,rural,Medium,,112100.0,2025-09-26
unemployed,45-54,Diploma,Fintech,suburban,High,,115500.0,2025-09-27
employed,18 to 24,PhD,Technology,Urban,low,30.0,122500.0,2025-09-28
employed,18 to 24,high school,Finance,Bangalore,,,137700.0,2025-10-01
Employed,,,Education,Urban,Low,,23600.0,2025-10-02
unemployed,18 to 24,high school,Retail,Urban,High,,114600.0,2025-10-03
UNEMPLOYED,25-34,Bachelor's,Healthcare,Hyderabad,Medium,,145500.0,2025-10-04
UNEMPLOYED,18 to 24,High School,Fintech,suburban,Low,,65700.0,2025-10-05
EMPLOYED,18-24,Bachelors,Retail,suburban,HIGH,,123700.0,2025-10-07
unemployed,45-54,High School,Retail,suburban,,25.0,140300.0,2025-10-08
Employed,18 to 24,,Healthcare,suburban,,,42400.0,2025-10-09
employed,35 - 44,Ph.D,Technology,,Medium,,141100.0,2025-10-11
employed,25-34,Diploma,Education,Bangalore,,17.0,43000.0,2025-10-12
Unemployed,18 to 24,Masters,Fintech,rural,High,,44500.0,2025-10-14
UNEMPLOYED,25_34,PhD,Health,urban,High,,107300.0,2025-10-15
unemployed,25_34,Diploma,Fintech,urban,Low,,110800.0,2025-10-16
,25-34,Master,Finance,Mumbai,moderate,,70000.0,2025-10-17
Employed,25_34,Bachelors,Health,Delhi,moderate,,132300.0,2025-10-18
,55+,Masters,Education,rural,High,15.0,109400.0,2025-10-19
Employed,25-34,High School,Finance,Delhi,moderate,16.0,122400.0,2025-10-20
,45-54,,,Hyderabad,Low,,90400.0,2025-10-21
,25_34,Bachelors,,Mumbai,High,22.0,142400.0,2025-10-22
unemployed,,Bachelor's,Healthcare,Delhi,low,24.0,148100.0,2025-10-23
unemployed,35 - 44,Ph.D,,rural,High,26.0,12500.0,2025-10-24
UNEMPLOYED,25-34,Master,Healthcare,Delhi,moderate,8.0,16300.0,2025-10-25
employed,55+,Bachelor's,Retail,Mumbai,High,,46400.0,2025-10-27
UNEMPLOYED,55+,Diploma,Health,suburban,High,24.0,59800.0,2025-10-28
UNEMPLOYED,45-54,Diploma,Retail,Delhi,low,,58600.0,2025-10-30
Unemployed,35 - 44,Bachelors,Finance,Bangalore,,,142000.0,2025-10-31
unemployed,45-54,PhD,Technology,,HIGH,,58300.0,2025-11-01
employed,55+,PhD,Retail,urban,moderate,,126700.0,2025-11-02
,35 - 44,Ph.D,,Bangalore,,1.0,85500.0,2025-11-03
Unemployed,45-54,Masters,Healthcare,Hyderabad,low,23.0,116900.0,2025-11-04
,25_34,high school,,urban,Medium,28.0,115300.0,2025-11-05
employed,45-54,High School,Health,suburban,moderate,,10300.0,2025-11-06
Employed,18 to 24,high school,Retail,Bangalore,,,55500.0,2025-11-07
,55+,Bachelor's,Retail,Bangalore,low,26.0,105500.0,2025-11-08
,25_34,high school,Healthcare,suburban,HIGH,13.0,120700.0,2025-11-11
,18-24,Diploma,Retail,Bangalore,moderate,2.0,28100.0,2025-11-12
Employed,,Masters,Technology,Urban,HIGH,8.0,105800.0,2025-11-13
Unemployed,45-54,high school,Health,Urban,low,6.0,63900.0,2025-11-14
,25_34,,Technology,Delhi,moderate,20.0,37300.0,2025-11-16
UNEMPLOYED,25_34,Bachelor's,Technology,Hyderabad,HIGH,4.0,103700.0,2025-11-18
employed,18-24,PhD,Retail,Bangalore,HIGH,,89400.0,2025-11-19
unemployed,55+,Master,Healthcare,urban,Low,21.0,102000.0,2025-11-20
Unemployed,,High School,Retail,urban,Medium,3.0,5500.0,2025-11-21
Employed,35 - 44,Diploma,Technology,rural,Low,,28100.0,2025-11-22
unemployed,35 - 44,Master,Retail,,HIGH,,132100.0,2025-11-23
unemployed,45-54,Bachelor's,Fintech,Urban,,,58300.0,2025-11-24
Employed,,Masters,Healthcare,Urban,High,,88600.0,2025-11-25
unemployed,18 to 24,Master,Healthcare,Urban,Medium,,61700.0,2025-11-27
Employed,25_34,,Retail,Bangalore,low,26.0,91000.0,2025-11-28
UNEMPLOYED,18 to 24,Master,Tech,Urban,,,133500.0,2025-11-29
EMPLOYED,55+,Diploma,Healthcare,suburban,HIGH,,137300.0,2025-11-30
,35 - 44,PhD,Retail,rural,Low,,31300.0,2025-12-01
Employed,18 to 24,,Health,urban,High,,5100.0,2025-12-02
unemployed,35 - 44,Diploma,Retail,Hyderabad,HIGH,29.0,121700.0,2025-12-03
Employed,18 to 24,Bachelors,Education,Mumbai,low,,53800.0,2025-12-04
Unemployed,18-24,Bachelors,Fintech,suburban,HIGH,16.0,17700.0,2025-12-05
,18-24,,,Mumbai,Medium,,7800.0,2025-12-07
,35 - 44,High School,Healthcare,rural,Low,,125500.0,2025-12-08
,25_34,Master,Retail,Mumbai,moderate,19.0,29900.0,2025-12-09
,55+,Bachelor's,Healthcare,Bangalore,HIGH,,62500.0,2025-12-12
UNEMPLOYED,45-54,Masters,Finance,rural,Low,,109900.0,2025-12-13
employed,18 to 24,Master,Fintech,Bangalore,low,29.0,37800.0,2025-12-14
Unemployed,18-24,Masters,Retail,Urban,High,3.0,53400.0,2025-12-15
UNEMPLOYED,25-34,high school,Retail,Urban,Medium,25.0,100600.0,2025-12-16
,45-54,Bachelors,Tech,Hyderabad,Medium,,94600.0,2025-12-17
,18 to 24,PhD,,rural,low,,32500.0,2025-12-18
Unemployed,35 - 44,Diploma,Finance,Bangalore,Medium,2.0,34200.0,2025-12-20
,,PhD,Finance,Mumbai,Medium,,7300.0,2025-12-21
UNEMPLOYED,,Ph.D,Retail,,moderate,,130700.0,2025-12-22
Employed,35 - 44,Master,Health,Mumbai,Medium,,66100.0,2025-12-23
,55+,High School,Technology,Bangalore,Low,,48500.0,2025-12-24
Employed,55+,High School,Health,Urban,Medium,,127100.0,2025-12-25
employed,18-24,Ph.D,Retail,Bangalore,Medium,9.0,46700.0,2025-12-26
Unemployed,25_34,high school,Tech,rural,,,24400.0,2025-12-27
UNEMPLOYED,,Masters,Health,,Low,27.0,29800.0,2025-12-28
UNEMPLOYED,45-54,Master,Technology,Urban,low,18.0,41900.0,2025-12-29
employed,25_34,,Technology,rural,HIGH,20.0,8800.0,2025-12-30
unemployed,45-54,Masters,Retail,suburban,low,11.0,39400.0,2026-01-01
,25-34,High School,Finance,suburban,low,,121700.0,2026-01-02
UNEMPLOYED,25_34,Bachelors,Healthcare,Mumbai,low,23.0,128500.0,2026-01-04
Employed,25_34,Ph.D,Finance,rural,low,22.0,48400.0,2026-01-05
unemployed,,Diploma,Retail,urban,HIGH,23.0,83500.0,2026-01-06
UNEMPLOYED,55+,Bachelor's,Retail,Bangalore,Low,,98800.0,2026-01-07
Employed,45-54,Masters,Retail,Delhi,Low,,34300.0,2026-01-08
UNEMPLOYED,25-34,high school,Finance,Bangalore,High,,118100.0,2026-01-09
EMPLOYED,25-34,PhD,Technology,suburban,moderate,,48400.0,2026-01-12
UNEMPLOYED,45-54,High School,Retail,,moderate,,96000.0,2026-01-13
EMPLOYED,25_34,Masters,Retail,Urban,,,79900.0,2026-01-14
employed,25-34,Master,Finance,urban,HIGH,13.0,14500.0,2026-01-15
Employed,25_34,Diploma,Fintech,Mumbai,Medium,16.0,31900.0,2026-01-16
,25_34,Ph.D,Retail,urban,High,2.0,59500.0,2026-01-17
unemployed,25-34,Master,Retail,Hyderabad,Low,,14100.0,2026-01-19
unemployed,35 - 44,Bachelors,Technology,Urban,low,23.0,7600.0,2026-01-20
unemployed,18-24,Diploma,Healthcare,rural,Medium,13.0,57500.0,2026-01-21
,25_34,Bachelors,Fintech,Delhi,Medium,,36900.0,2026-01-22
employed,18-24,Ph.D,Health,Hyderabad,Low,,130100.0,2026-01-23
unemployed,18-24,Masters,Tech,suburban,High,,45200.0,2026-01-24
UNEMPLOYED,25_34,PhD,,Mumbai,Low,16.0,93400.0,2026-01-25
UNEMPLOYED,35 - 44,Diploma,Finance,rural,HIGH,,149900.0,2026-01-26
employed,35 - 44,High School,Retail,Delhi,HIGH,,47800.0,2026-01-27
Unemployed,18 to 24,High School,Fintech,Mumbai,low,,76800.0,2026-01-28
Employed,,Ph.D,Finance,Hyderabad,,21.0,63800.0,2026-01-29
employed,25-34,Master,Fintech,Mumbai,,,121900.0,2026-01-30
employed,45-54,Master,Technology,Mumbai,High,19.0,75900.0,2026-01-31
unemployed,18 to 24,Bachelor's,Retail,Hyderabad,Medium,22.0,82600.0,2026-02-01
EMPLOYED,45-54,Bachelors,Technology,Bangalore,moderate,26.0,69200.0,2026-02-02
Unemployed,25-34,PhD,Health,Hyderabad,High,,128300.0,2026-02-03
Unemployed,,Ph.D,Health,Mumbai,Low,,148400.0,2026-02-04
Unemployed,,Diploma,,Urban,Low,,146500.0,2026-02-05
EMPLOYED,25-34,high school,Retail,rural,HIGH,30.0,78100.0,2026-02-08
UNEMPLOYED,55+,Diploma,Health,Bangalore,low,22.0,36800.0,2026-02-09
Employed,25-34,Ph.D,Tech,Delhi,High,29.0,84500.0,2026-02-10
EMPLOYED,25_34,PhD,Healthcare,urban,High,,100900.0,2026-02-11
Unemployed,35 - 44,Bachelors,Tech,urban,Medium,,13300.0,2026-02-13
EMPLOYED,18-24,Masters,Fintech,rural,Low,11.0,65100.0,2026-02-14
UNEMPLOYED,25_34,Master,Fintech,Hyderabad,Low,,139900.0,2026-02-15
Employed,25-34,Master,Healthcare,urban,,27.0,137500.0,2026-02-16
Unemployed,,Bachelor's,Technology,Hyderabad,High,,79400.0,2026-02-17
Unemployed,35 - 44,,Education,Mumbai,low,,86900.0,2026-02-20
unemployed,18 to 24,,Health,Delhi,low,,21700.0,2026-02-21
unemployed,,PhD,,Bangalore,Medium,0.0,79200.0,2026-02-24
Employed,18-24,Ph.D,Tech,Hyderabad,low,,62700.0,2026-02-25
Unemployed,45-54,Bachelor's,Technology,urban,HIGH,,141400.0,2026-02-26
unemployed,55+,,Education,Hyderabad,Low,22.0,44000.0,2026-02-28
Unemployed,18-24,Masters,Technology,,low,0.0,80400.0,2026-03-02
unemployed,55+,,Finance,Bangalore,,,106300.0,2026-03-03
employed,18 to 24,Bachelor's,Retail,Delhi,Medium,,120600.0,2026-03-04
Employed,25-34,,Technology,suburban,Medium,26.0,38900.0,2026-03-05
unemployed,55+,Bachelor's,Retail,urban,High,16.0,53200.0,2026-03-07
employed,18-24,Diploma,Retail,Delhi,,,22300.0,2026-03-08
Employed,18 to 24,Master,Education,Urban,High,,76500.0,2026-03-09
unemployed,35 - 44,Bachelors,Fintech,suburban,moderate,27.0,65100.0,2026-03-10
Unemployed,18-24,Master,Education,Mumbai,HIGH,24.0,107300.0,2026-03-11
unemployed,18 to 24,Ph.D,Tech,Urban,Medium,5.0,122000.0,2026-03-12
Unemployed,35 - 44,Master,Healthcare,Bangalore,Medium,,60800.0,2026-03-13
employed,25-34,Masters,,Mumbai,High,,63800.0,2026-03-16
UNEMPLOYED,18 to 24,,Healthcare,suburban,HIGH,,148400.0,2026-03-17
EMPLOYED,45-54,Diploma,Education,urban,HIGH,15.0,98600.0,2026-03-18
unemployed,,PhD,Health,urban,High,1.0,99000.0,2026-03-19
Employed,25_34,Bachelors,Tech,urban,,,69100.0,2026-03-21
,18 to 24,,Finance,Hyderabad,Medium,,41300.0,2026-03-22
Employed,25_34,High School,Healthcare,Delhi,HIGH,,7900.0,2026-03-23
Unemployed,55+,Master,Healthcare,Delhi,HIGH,,34400.0,2026-03-24
Unemployed,55+,Masters,Health,rural,High,17.0,73200.0,2026-03-25
employed,45-54,Masters,Technology,Delhi,High,,107100.0,2026-03-26
UNEMPLOYED,25_34,Master,Technology,urban,Low,,11500.0,2026-03-27
,25-34,Diploma,Healthcare,suburban,High,,93800.0,2026-03-29
UNEMPLOYED,18 to 24,Diploma,,,moderate,6.0,122100.0,2026-03-30
EMPLOYED,25-34,Masters,Retail,suburban,low,,33400.0,2026-03-31
UNEMPLOYED,55+,Ph.D,Tech,Delhi,High,18.0,42700.0,2026-04-01
,25_34,Ph.D,Retail,urban,Low,23.0,149100.0,2026-04-02
,45-54,high school,Education,rural,low,,132300.0,2026-04-03
EMPLOYED,18-24,Ph.D,Fintech,,low,,18700.0,2026-04-06
EMPLOYED,,,Technology,rural,Medium,,127200.0,2026-04-07
Employed,55+,Ph.D,Technology,suburban,low,30.0,129400.0,2026-04-08
Unemployed,,high school,,Bangalore,low,16.0,72300.0,2026-04-09
employed,25-34,Bachelors,Retail,Bangalore,,,34400.0,2026-04-10
EMPLOYED,55+,PhD,Fintech,Mumbai,moderate,14.0,40600.0,2026-04-12
EMPLOYED,,Bachelors,Tech,Delhi,HIGH,2.0,147900.0,2026-04-13
Unemployed,18-24,high school,Education,rural,moderate,,77800.0,2026-04-14
UNEMPLOYED,35 - 44,PhD,Healthcare,rural,Low,5.0,43100.0,2026-04-15
,25_34,Masters,Technology,,low,28.0,109600.0,2026-04-17
EMPLOYED,,Diploma,,rural,low,23.0,61700.0,2026-04-18
EMPLOYED,18-24,Masters,,urban,moderate,9.0,148500.0,2026-04-20
employed,18-24,Master,Technology,Bangalore,moderate,20.0,54400.0,2026-04-21
,35 - 44,Masters,,Delhi,Low,,81000.0,2026-04-22
Employed,,Bachelor's,Retail,Delhi,Low,,78300.0,2026-04-23
employed,35 - 44,high school,Finance,rural,HIGH,7.0,137000.0,2026-04-24
unemployed,45-54,Diploma,Health,suburban,moderate,14.0,144900.0,2026-04-25
EMPLOYED,35 - 44,Ph.D,Technology,suburban,moderate,30.0,149800.0,2026-04-26
Employed,55+,Bachelors,Retail,Bangalore,moderate,,81300.0,2026-04-27
EMPLOYED,18 to 24,Ph.D,Retail,Mumbai,HIGH,,134900.0,2026-04-29
EMPLOYED,35 - 44,Master,Healthcare,rural,High,,100000.0,2026-04-30
,18 to 24,Ph.D,Finance,urban,HIGH,,18100.0,2026-05-01
,55+,PhD,Tech,Urban,Medium,16.0,110600.0,2026-05-02
,25_34,Ph.D,Retail,Urban,low,22.0,148400.0,2026-05-03
Employed,55+,high school,Tech,Urban,HIGH,,27500.0,2026-05-04
UNEMPLOYED,35 - 44,Ph.D,Tech,rural,High,,102500.0,2026-05-05
Employed,18-24,High School,Fintech,,Low,7.0,117100.0,2026-05-06
Unemployed,45-54,Ph.D,,Hyderabad,High,7.0,39300.0,2026-05-08
Unemployed,18 to 24,PhD,Tech,Mumbai,Medium,,93000.0,2026-05-09
EMPLOYED,45-54,PhD,,urban,moderate,16.0,70500.0,2026-05-10
unemployed,25-34,Masters,Retail,Bangalore,Low,26.0,28900.0,2026-05-11
UNEMPLOYED,35 - 44,Bachelor's,Health,Hyderabad,HIGH,28.0,52200.0,2026-05-12
UNEMPLOYED,18 to 24,High School,Retail,,High,29.0,6300.0,2026-05-13
,25-34,Bachelor's,Retail,suburban,Low,7.0,89400.0,2026-05-14
UNEMPLOYED,,PhD,Finance,suburban,low,,5800.0,2026-05-15
Unemployed,18 to 24,Bachelors,Retail,,low,20.0,141800.0,2026-05-16
Unemployed,45-54,Bachelor's,Health,Bangalore,High,,125800.0,2026-05-17
,18 to 24,high school,,Delhi,HIGH,20.0,54800.0,2026-05-18
EMPLOYED,25-34,Bachelors,Health,Bangalore,moderate,,65800.0,2026-05-19
Unemployed,45-54,High School,Fintech,suburban,,,55800.0,2026-05-20
employed,35 - 44,Master,Tech,Delhi,Low,6.0,15200.0,2026-05-21
unemployed,25-34,High School,Retail,,High,,72500.0,2026-05-22
,35 - 44,Master,Fintech,Delhi,Low,1.0,119900.0,2026-05-24
EMPLOYED,18 to 24,PhD,Tech,Mumbai,,11.0,140400.0,2026-05-25
employed,18-24,High School,Healthcare,rural,Low,6.0,105600.0,2026-05-26
Unemployed,18 to 24,Bachelor's,Retail,Mumbai,High,29.0,139800.0,2026-05-27
employed,18 to 24,Master,,Bangalore,Medium,25.0,52400.0,2026-05-28
employed,18 to 24,,,rural,,2.0,18400.0,2026-05-30
employed,35 - 44,PhD,Retail,,Medium,8.0,78000.0,2026-05-31
EMPLOYED,45-54,Diploma,Education,Urban,Medium,1.0,85400.0,2026-06-01
,18 to 24,high school,Education,Mumbai,Medium,,48000.0,2026-06-02
UNEMPLOYED,18-24,Bachelor's,Retail,urban,Low,17.0,58300.0,2026-06-03
unemployed,25_34,high school,Health,Mumbai,Medium,,66100.0,2026-06-06
,45-54,Master,Retail,Bangalore,Medium,28.0,48200.0,2026-06-07
Unemployed,,Masters,Health,suburban,Low,5.0,78700.0,2026-06-09
,18-24,Ph.D,Retail,Urban,Low,4.0,87500.0,2026-06-10
UNEMPLOYED,35 - 44,Masters,,Delhi,moderate,1.0,70300.0,2026-06-13
,,Bachelors,,suburban,High,1.0,128000.0,2026-06-14
Employed,18 to 24,high school,Retail,urban,,,137700.0,2026-06-15
,35 - 44,Diploma,Education,Delhi,,2.0,96500.0,2026-06-16
Unemployed,25_34,High School,Finance,,HIGH,,99400.0,2026-06-17
employed,,high school,Retail,Bangalore,High,17.0,12100.0,2026-06-19
Employed,,Masters,Retail,Hyderabad,Medium,27.0,56700.0,2026-06-20
Employed,25_34,Masters,,Mumbai,High,,95300.0,2026-06-21
Unemployed,45-54,High School,Retail,rural,HIGH,,15000.0,2026-06-22
,18 to 24,Masters,Fintech,,High,,58800.0,2026-06-23
Employed,55+,high school,Healthcare,Delhi,HIGH,4.0,6100.0,2026-06-24
EMPLOYED,18-24,high school,Retail,,,,146800.0,2026-06-25
Employed,25-34,,Finance,rural,Low,,33600.0,2026-06-27
EMPLOYED,55+,Masters,Healthcare,Hyderabad,low,4.0,69300.0,2026-06-28
Employed,25_34,Bachelors,,Delhi,,23.0,28500.0,2026-07-01
UNEMPLOYED,25_34,,Healthcare,urban,Medium,21.0,30500.0,2026-07-02
UNEMPLOYED,45-54,Diploma,Health,urban,High,,137200.0,2026-07-04
,25_34,,Education,Bangalore,HIGH,,59000.0,2026-07-07
Unemployed,25_34,Master,Fintech,Mumbai,low,,143000.0,2026-07-08
EMPLOYED,35 - 44,Bachelors,Education,rural,High,,9600.0,2026-07-09
Unemployed,25-34,Bachelors,Education,,Medium,19.0,68200.0,2026-07-10
unemployed,18-24,PhD,Retail,Mumbai,High,,81700.0,2026-07-12
UNEMPLOYED,18-24,Diploma,Education,Mumbai,Medium,5.0,104700.0,2026-07-13
EMPLOYED,45-54,high school,Retail,suburban,Medium,,36000.0,2026-07-14
UNEMPLOYED,45-54,PhD,Healthcare,rural,,,50500.0,2026-07-17
Employed,,Diploma,,suburban,HIGH,6.0,55000.0,2026-07-18
UNEMPLOYED,18-24,,,urban,,13.0,113500.0,2026-07-19
unemployed,25-34,Diploma,Education,Delhi,moderate,25.0,101200.0,2026-07-20
,45-54,Diploma,Education,Hyderabad,Low,25.0,6100.0,2026-07-21
employed,18-24,High School,Tech,rural,HIGH,,10700.0,2026-07-23
unemployed,25-34,Bachelors,Retail,Urban,HIGH,2.0,56700.0,2026-07-24
,18-24,Diploma,,,HIGH,,146800.0,2026-07-26
UNEMPLOYED,25-34,Masters,Retail,Delhi,HIGH,2.0,87600.0,2026-07-27
